time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2019-04-04T13:55:34.680Z,56.3457,-149.0683,21.01,3.7,ml,,209,2.4,0.8,us,us2000ka7z,2019-04-04T15:11:23.040Z,"258km SE of Kodiak, Alaska",earthquake,9,10.6,,,reviewed,us,ak
2019-04-04T12:19:19.239Z,56.4217,-149.0942,0.2,3.7,ml,,,,0.93,ak,ak0194bnrxtl,2019-04-04T12:26:58.506Z,"251km SE of Kodiak, Alaska",earthquake,,8,,,automatic,ak,ak
2019-04-04T12:00:09.120Z,-30.2333,-71.3733,58.61,4.8,mb,,105,0.493,1.06,us,us2000ka6l,2019-04-04T13:21:03.093Z,"31km S of Coquimbo, Chile",earthquake,5.7,3.3,0.063,77,reviewed,us,us
2019-04-04T11:58:55.518Z,59.8812,-140.4823,7.1,2.6,ml,,,,0.78,ak,ak0194bnexx6,2019-04-04T12:10:34.349Z,"56km NW of Yakutat, Alaska",earthquake,,0.3,,,automatic,ak,ak
2019-04-04T10:34:21.420Z,42.6661667,-111.4853333,3.85,3.34,ml,20,105,0.08747,0.16,uu,uu60319437,2019-04-04T15:12:19.055Z,"9km E of Soda Springs, Idaho",earthquake,0.54,1.62,0.131,14,reviewed,uu,uu
2019-04-04T10:04:13.552Z,66.2187,-157.3508,0,2.6,ml,,,,0.67,ak,ak0194bmhueq,2019-04-04T10:16:35.823Z,"79km SSW of Kobuk, Alaska",earthquake,,0.3,,,automatic,ak,ak
2019-04-04T09:59:20.440Z,20.3059,120.7916,10,4.6,mb,,118,2.513,1.39,us,us2000ka4n,2019-04-04T13:18:36.040Z,"112km W of Sabtang, Philippines",earthquake,8.7,1.9,0.083,43,reviewed,us,us
2019-04-04T09:45:54.290Z,42.6636667,-111.4875,4.56,3.25,ml,16,103,0.08565,0.13,uu,uu60319427,2019-04-04T15:13:47.170Z,"9km E of Soda Springs, Idaho",earthquake,0.44,1.17,0.145,17,reviewed,uu,uu
2019-04-04T08:29:52.060Z,19.043,-67.3763,30,2.98,md,5,333,0.9339,0.25,pr,pr2019094008,2019-04-04T12:42:04.446Z,"67km NNW of San Antonio, Puerto Rico",earthquake,2.28,18.08,0.11,5,reviewed,pr,pr
2019-04-04T08:23:12.030Z,18.8105,-67.5008,6,2.9,md,7,305,0.4266,0.33,pr,pr2019094011,2019-04-04T12:43:27.846Z,"55km NW of Caban, Puerto Rico",earthquake,2.63,2.55,0.06,5,reviewed,pr,pr
2019-04-04T07:45:30.560Z,25.4446,94.4083,63.09,5.3,mb,,26,1.213,0.48,us,us2000ka3r,2019-04-04T14:19:14.848Z,"26km SSW of Phek, India",earthquake,7.2,6.8,0.045,166,reviewed,us,us
2019-04-04T07:22:00.740Z,-9.0931,119.3011,102.43,4.6,mb,,77,2.937,1.03,us,us2000ka3l,2019-04-04T07:41:58.040Z,"35km N of Bondoboghila, Indonesia",earthquake,7.1,6.7,0.119,21,reviewed,us,us
2019-04-04T06:36:06.790Z,4.2224,127.2603,66.28,4.8,mb,,108,3.286,0.76,us,us2000ka3e,2019-04-04T07:15:11.040Z,"238km ESE of Sarangani, Philippines",earthquake,7.4,7.5,0.067,68,reviewed,us,us
2019-04-04T05:45:46.310Z,-61.6855,154.9878,10,4.7,mb,,131,7.506,0.98,us,us2000ka32,2019-04-04T06:12:34.040Z,"Balleny Islands region",earthquake,12.2,1.9,0.12,23,reviewed,us,us
2019-04-04T05:41:07.570Z,19.443,-65.1775,94,3.68,md,16,322,1.4515,0.49,pr,pr2019094002,2019-04-04T06:19:01.040Z,"133km N of Charlotte Amalie, U.S. Virgin Islands",earthquake,5.69,10.87,0.37,15,reviewed,pr,pr
2019-04-04T05:08:34.390Z,-21.279,-68.4502,131.14,4.6,mb,,49,0.899,1.13,us,us2000ka2k,2019-04-04T05:28:58.040Z,"140km NNE of Calama, Chile",earthquake,6.8,4.1,0.083,43,reviewed,us,us
2019-04-04T04:20:16.527Z,66.3072,-156.9278,0.2,3.3,ml,,,,0.98,ak,ak0194bj0odg,2019-04-04T04:28:57.714Z,"66km S of Kobuk, Alaska",earthquake,,0.9,,,automatic,ak,ak
2019-04-04T02:41:20.880Z,-5.5191,147.4456,184.09,4.8,mb,,39,3.453,0.68,us,us2000ka16,2019-04-04T03:02:42.040Z,"128km NNW of Finschhafen, Papua New Guinea",earthquake,5.4,7.9,0.107,27,reviewed,us,us
2019-04-04T02:25:34.871Z,66.2454,-157.2203,1.9,3,ml,,,,0.73,ak,ak0194bhuxhd,2019-04-04T02:37:25.766Z,"75km SSW of Kobuk, Alaska",earthquake,,0.8,,,automatic,ak,ak
2019-04-04T01:56:56.880Z,23.0131,120.9496,6.3,5.1,mww,,43,0.228,1.05,us,us2000ka0n,2019-04-04T07:48:11.473Z,"34km NW of Taitung City, Taiwan",earthquake,3.7,4.5,0.075,17,reviewed,us,us
2019-04-04T01:16:55.706Z,66.3244,-157.2189,0,2.8,ml,,,,0.65,ak,ak0194bh7lrq,2019-04-04T01:22:47.122Z,"66km SSW of Kobuk, Alaska",earthquake,,0.3,,,automatic,ak,ak
2019-04-04T00:27:56.930Z,15.6198,-94.515,49.29,4.7,mb,,138,2.38,0.84,us,us2000k9zd,2019-04-04T00:58:05.704Z,"69km SSE of San Francisco del Mar, Mexico",earthquake,7.4,5.7,0.039,202,reviewed,us,us
2019-04-04T00:08:31.710Z,36.1218333,-89.4248333,11.55,2.59,md,42,65,0.0501,0.13,nm,nm60238927,2019-04-04T14:53:56.353Z,"9km NNW of Dyersburg, Tennessee",earthquake,0.24,0.52,0.142,34,reviewed,nm,nm
2019-04-03T22:03:29.800Z,18.9386,-67.9848,97,3.12,md,4,212,1.2786,0.39,pr,pr2019093007,2019-04-03T23:54:02.441Z,"59km NE of Punta Cana, Dominican Republic",earthquake,6.86,6.33,0.08,4,reviewed,pr,pr
2019-04-03T21:27:24.790Z,-16.4155,-71.9182,116.48,4.4,mb,,136,2.458,0.82,us,us70001jnb,2019-04-03T21:46:45.040Z,"31km SW of Yura, Peru",earthquake,8.8,17.2,0.178,9,reviewed,us,us
2019-04-03T19:40:51.310Z,1.7615,31.1994,10,4.5,mb,,88,2.392,0.57,us,us2000k9xr,2019-04-04T05:32:58.944Z,"20km NW of Kigorobya, Uganda",earthquake,9.8,1.9,0.116,22,reviewed,us,us
2019-04-03T18:12:38.470Z,-32.8532,-70.3617,107.49,4.1,ml,,82,0.182,0.4,us,us2000k9ss,2019-04-04T01:52:11.626Z,"22km E of Los Andes, Chile",earthquake,5.5,7,0.049,54,reviewed,us,us
2019-04-03T16:38:39.000Z,18.469,-68.9786,110,3.22,md,15,177,0.5989,0.62,pr,pr2019093005,2019-04-03T21:16:05.040Z,"3km NE of Guaymate, Dominican Republic",earthquake,2.16,1.79,0.54,12,reviewed,pr,pr
2019-04-03T15:29:51.180Z,42.343,1.2033,10,3.7,mb_lg,,102,0.258,1.06,us,us2000k9pu,2019-04-04T00:17:04.704Z,"9km SE of Sort, Spain",earthquake,3,2,0.117,19,reviewed,us,us
2019-04-03T14:33:59.320Z,-20.8485,-70.0259,74.19,4.1,mb,,96,0.122,0.62,us,us2000k9wf,2019-04-03T21:00:00.345Z,"70km S of Iquique, Chile",earthquake,3.8,5.5,0.262,4,reviewed,us,us
2019-04-03T13:37:09.596Z,68.9463,-147.7306,1.3,2.7,ml,,,,0.64,ak,ak0194a0xuza,2019-04-04T07:05:32.040Z,"127km NW of Arctic Village, Alaska",earthquake,,0.7,,,automatic,ak,ak
2019-04-03T13:21:43.900Z,-2.1811,-77.1988,139.29,4.2,mb,,82,1.939,0.87,us,us2000k9m8,2019-04-04T07:00:05.040Z,"97km ESE of Palora, Ecuador",earthquake,7.7,10.2,0.146,13,reviewed,us,us
2019-04-03T13:00:27.580Z,54.2638,-161.561,35,3.1,ml,,201,1.074,0.85,us,us2000k9su,2019-04-04T06:56:01.040Z,"126km SE of Cold Bay, Alaska",earthquake,5.3,2,0.085,18,reviewed,us,us
2019-04-03T12:06:22.980Z,33.866,-117.7276667,4.75,3.61,ml,195,16,0.01545,0.25,ci,ci37603458,2019-04-04T14:47:05.129Z,"8km ESE of Yorba Linda, CA",earthquake,0.1,0.29,0.207,263,reviewed,ci,ci
2019-04-03T11:15:51.430Z,51.6526,177.8177,10,4.3,mb,,212,2.528,0.84,us,us2000k9l5,2019-04-03T11:41:14.040Z,"52km SSE of Kiska Volcano, Alaska",earthquake,5.5,2,0.067,62,reviewed,us,us
2019-04-03T11:05:02.660Z,17.6333,-67.9466,54,3.08,md,7,240,0.8847,0.3,pr,pr2019093003,2019-04-03T16:43:03.415Z,"89km WSW of Pole Ojea, Puerto Rico",earthquake,3.13,6.61,0.07,5,reviewed,pr,pr
2019-04-03T10:21:52.810Z,19.7795,-155.5568333,15.4,2.53,ml,60,88,0.03176,0.13,hv,hv70889456,2019-04-04T02:13:54.860Z,"29km SSE of Waimea, Hawaii",earthquake,0.31,0.67,0.159,26,reviewed,hv,hv
2019-04-03T09:28:09.370Z,19.137,-156.4068333,1.84,2.5,ml,39,263,0.5235,0.12,hv,hv70889401,2019-04-03T23:24:43.181Z,"64km WSW of Captain Cook, Hawaii",earthquake,1.64,0.96,0.122,15,reviewed,hv,hv
2019-04-03T09:24:50.810Z,12.5741,-89.3905,10,4.4,mb,,160,1.814,0.4,us,us2000k9jx,2019-04-03T09:50:52.040Z,"101km S of La Libertad, El Salvador",earthquake,8.4,2,0.076,50,reviewed,us,us
2019-04-03T03:55:29.350Z,42.4302,141.499,126.28,4.3,mb,,79,1.299,0.41,us,us2000k9h4,2019-04-03T04:09:13.040Z,"18km SE of Shiraoi, Japan",earthquake,7.7,9.1,0.109,24,reviewed,us,us
2019-04-03T02:51:16.410Z,51.9333,177.9833,10,4.1,mb,,198,2.01,0.9,us,us2000k9gq,2019-04-03T22:00:30.040Z,"32km SE of Kiska Volcano, Alaska",earthquake,10.3,2,0.068,60,reviewed,us,us
2019-04-03T02:50:07.660Z,43.5776,-111.1577,7.33,2.5,ml,,60,0.112,0.37,us,us2000k9gf,2019-04-04T01:52:01.480Z,"4km SW of Victor, Idaho",earthquake,1.8,1.9,0.049,54,reviewed,us,us
2019-04-03T01:52:56.690Z,22.9874,120.9151,10,5.4,mww,,30,0.227,0.81,us,us2000k9g3,2019-04-04T03:03:13.168Z,"34km NW of Taitung City, Taiwan",earthquake,3.2,1.8,0.071,19,reviewed,us,us
2019-04-03T01:42:41.090Z,-39.2491,178.0561,10,4.2,mb,,127,1.05,0.82,us,us2000k9fy,2019-04-03T06:02:18.648Z,"64km ESE of Wairoa, New Zealand",earthquake,4.3,1.8,0.187,8,reviewed,us,us
2019-04-03T01:03:43.970Z,51.8731,178.0688,10,4.2,mb,,202,2.581,0.8,us,us2000k9ff,2019-04-03T02:24:21.040Z,"31km WSW of Little Sitkin Island, Alaska",earthquake,5.6,2,0.073,52,reviewed,us,us
2019-04-03T00:40:22.030Z,69.427,-144.0551,1.7,3,ml,,,,0.82,ak,ak01949t7wbt,2019-04-03T00:47:52.183Z,"80km SSW of Kaktovik, Alaska",earthquake,,632.7,,,automatic,ak,ak
2019-04-02T23:28:51.490Z,51.8598,178.0266,10,4.6,mb,,203,2.562,0.87,us,us2000k9eq,2019-04-03T00:06:22.040Z,"34km WSW of Little Sitkin Island, Alaska",earthquake,8.9,1.9,0.046,141,reviewed,us,us
2019-04-02T23:13:38.440Z,52.1344,178.1978,10,4.2,mb,,191,2.576,1.16,us,us2000k9eg,2019-04-02T23:50:32.040Z,"29km NW of Little Sitkin Island, Alaska",earthquake,8.9,1.7,0.079,45,reviewed,us,us
2019-04-02T23:01:24.450Z,-6.1048,148.9272,57.54,5,mb,,36,3.742,0.9,us,us2000k9eb,2019-04-02T23:26:44.040Z,"70km W of Kandrian, Papua New Guinea",earthquake,8.6,5.3,0.073,60,reviewed,us,us
2019-04-02T22:47:22.930Z,56.2322,-149.6697,22.17,3.2,ml,,204,2.226,0.59,us,us2000k9e3,2019-04-03T02:45:17.040Z,"240km SE of Kodiak, Alaska",earthquake,7.8,10.6,0.051,50,reviewed,us,us
2019-04-02T22:12:59.530Z,18.8735,-64.3401,12,3.14,md,16,222,1.5095,0.42,pr,pr2019092014,2019-04-03T02:37:15.040Z,"51km NE of Road Town, British Virgin Islands",earthquake,4.15,3.46,0.34,16,reviewed,pr,pr
2019-04-02T21:46:24.770Z,51.9493,177.9707,10,4.7,mb,,183,2.498,0.87,us,us2000k9dj,2019-04-02T23:27:14.725Z,"30km SE of Kiska Volcano, Alaska",earthquake,5.2,2,0.09,37,reviewed,us,us
2019-04-02T21:39:41.330Z,51.9853,178.1249,10,5.2,mb,,153,2.576,0.71,us,us2000k9e2,2019-04-02T23:15:17.040Z,"26km W of Little Sitkin Island, Alaska",earthquake,9.1,1.9,0.084,47,reviewed,us,us
2019-04-02T21:35:32.360Z,52.2131,178.0196,19.05,6.5,mww,,43,2.45,0.83,us,us2000k9d7,2019-04-03T21:39:25.136Z,"31km ENE of Kiska Volcano, Alaska",earthquake,5.5,3.5,0.068,21,reviewed,us,us
2019-04-02T20:33:49.360Z,-24.3584,-179.8427,512.5,4.7,mb,,127,6.867,0.85,us,us2000k9by,2019-04-02T20:53:03.040Z,"South of the Fiji Islands",earthquake,14.3,7.4,0.053,107,reviewed,us,us
2019-04-02T20:14:03.767Z,66.3346,-157.4875,15.4,3.4,ml,,,,0.76,ak,ak01948hflsz,2019-04-02T20:28:21.500Z,"69km SSW of Kobuk, Alaska",earthquake,,0.7,,,automatic,ak,ak
2019-04-02T20:04:14.362Z,68.8626,-143.1323,0,3.1,ml,,,,0.67,ak,ak01948hdhi7,2019-04-02T20:17:06.336Z,"128km NE of Arctic Village, Alaska",earthquake,,0.3,,,automatic,ak,ak
2019-04-02T19:32:42.960Z,19.1786671,-155.4205017,20.18,2.53,md,8,179,0.04563,0.07,hv,hv70888541,2019-04-02T21:36:25.390Z,"6km ESE of Pahala, Hawaii",other event,4.15,5.99,0.13,4,reviewed,hv,hv
2019-04-02T17:40:48.516Z,55.997,-151.9143,5.7,2.5,ml,,,,0.98,ak,ak01948ft3ob,2019-04-02T19:59:00.119Z,"201km S of Kodiak, Alaska",earthquake,,0.4,,,reviewed,ak,ak
2019-04-02T16:41:34.992Z,66.2859,-156.9403,0,3,ml,,,,0.89,ak,ak01948f7q4l,2019-04-02T19:41:50.040Z,"69km S of Kobuk, Alaska",earthquake,,0.6,,,automatic,ak,ak
2019-04-02T16:11:16.960Z,36.0666667,-117.687,1.25,2.82,ml,36,35,0.07572,0.15,ci,ci37602474,2019-04-02T21:41:51.820Z,"24km E of Coso Junction, CA",earthquake,0.14,0.22,0.128,27,reviewed,ci,ci
2019-04-02T15:55:30.193Z,66.2117,-157.2017,0,2.5,ml,,,,0.79,ak,ak01948epa6t,2019-04-02T19:35:27.040Z,"78km S of Kobuk, Alaska",earthquake,,0.4,,,automatic,ak,ak
2019-04-02T15:36:17.377Z,66.2173,-157.1976,0.1,2.8,ml,,,,0.6,ak,ak01948el6ma,2019-04-02T19:02:09.040Z,"78km S of Kobuk, Alaska",earthquake,,0.3,,,automatic,ak,ak
2019-04-02T15:14:20.396Z,66.2097,-157.2957,0,3.1,ml,,,,0.74,ak,ak01948egh1f,2019-04-02T18:41:12.040Z,"79km SSW of Kobuk, Alaska",earthquake,,0.5,,,automatic,ak,ak
2019-04-02T14:23:20.360Z,37.4092,72.066,216.75,4.3,mb,,70,0.344,0.67,us,us2000k94y,2019-04-02T18:26:25.040Z,"27km NE of Roshtqal'a, Tajikistan",earthquake,7.1,5.9,0.178,9,reviewed,us,us
2019-04-02T13:17:39.130Z,-51.2221,-72.0682,10,4.9,mb,,128,0.531,0.83,us,us2000k94n,2019-04-02T18:53:46.040Z,"43km NNE of Yacimiento Rio Turbio, Argentina",earthquake,7.7,1.7,0.068,69,reviewed,us,us
2019-04-02T13:00:02.380Z,46.7035,-121.0665,4.22,2.68,ml,28,78,,0.28,uw,uw61515622,2019-04-03T19:22:56.306Z,"23km W of Tieton, Washington",earthquake,0.5,0.82,0.0665314803376913,12,reviewed,uw,uw
2019-04-02T12:28:32.380Z,1.748,127.4036,121.28,5.1,mb,,104,0.97,0.78,us,us2000k94e,2019-04-02T12:42:31.040Z,"67km W of Tobelo, Indonesia",earthquake,7.1,4.8,0.124,21,reviewed,us,us
2019-04-02T12:27:09.664Z,61.0061,-150.3286,48.9,2.7,ml,,,,0.65,ak,ak01948cqxpr,2019-04-02T20:25:17.346Z,"33km SW of Anchorage, Alaska",earthquake,,0.3,,,reviewed,ak,ak
2019-04-02T11:31:55.460Z,-6.2707,155.0036,60.82,5,mb,,67,3.502,0.85,us,us2000k93r,2019-04-02T11:50:56.040Z,"53km W of Panguna, Papua New Guinea",earthquake,7.6,6.3,0.036,249,reviewed,us,us
2019-04-02T11:20:26.760Z,59.2238,-153.4872,108.7,2.5,ml,,,,0.55,ak,ak01948c41h5,2019-04-02T11:33:24.023Z,"99km SE of Old Iliamna, Alaska",earthquake,,0.4,,,automatic,ak,ak
2019-04-02T09:12:38.470Z,18.9595,-67.2661,16,2.81,md,8,301,0.5158,0.48,pr,pr2019092010,2019-04-02T12:05:25.964Z,"54km NNW of San Antonio, Puerto Rico",earthquake,2.32,3.11,0.28,6,reviewed,pr,pr
2019-04-02T08:33:33.360Z,32.2943344,-115.1115036,20.51,3.01,ml,12,224,0.03126,0.2,ci,ci37601970,2019-04-02T21:05:24.982Z,"1km NW of Guadalupe Victoria, B.C., MX",earthquake,1.51,1.28,0.54,3,automatic,ci,ci
2019-04-02T08:32:03.160Z,32.23,-115.0726667,27.58,2.82,ml,16,277,0.07274,0.19,ci,ci37601962,2019-04-02T08:35:53.512Z,"7km SSE of Guadalupe Victoria, B.C., MX",earthquake,1.76,0.61,0.17,26,automatic,ci,ci
2019-04-02T07:42:42.800Z,19.81,-155.3595,33.06,2.75,ml,70,94,0.07915,0.13,hv,hv70887871,2019-04-02T20:17:40.234Z,"26km W of Pepeekeo, Hawaii",earthquake,0.4,0.73,0.196,35,reviewed,hv,hv
2019-04-02T07:41:33.175Z,63.4776,-150.0285,119.9,3.1,ml,,,,0.56,ak,ak019489utix,2019-04-02T07:54:44.393Z,"54km W of Cantwell, Alaska",earthquake,,0.4,,,automatic,ak,ak
2019-04-02T07:36:34.080Z,19.2551,-64.436,50,3.03,md,10,343,1.7985,0.32,pr,pr2019092009,2019-04-02T12:05:06.188Z,"94km NNE of Road Town, British Virgin Islands",earthquake,4.57,18.54,0.3,6,reviewed,pr,pr
2019-04-02T07:21:12.620Z,19.576,-64.9753,83,3.84,md,24,222,1.679,0.86,pr,pr2019092005,2019-04-02T09:59:43.040Z,"123km NNW of Road Town, British Virgin Islands",earthquake,7.48,19.72,0.46,14,reviewed,pr,pr
2019-04-02T06:59:01.110Z,19.131834,-155.3906708,38.7,2.82,md,41,182,0.0715,0.26,hv,hv70887836,2019-04-02T20:50:46.640Z,"12km SE of Pahala, Hawaii",other event,0.91,1.81,0.2,28,reviewed,hv,hv
2019-04-02T06:57:24.890Z,19.1124992,-155.4043274,40.66,2.76,md,22,204,0.06933,0.13,hv,hv70887831,2019-04-02T20:50:28.830Z,"12km SE of Pahala, Hawaii",other event,0.77,0.91,0.19,7,reviewed,hv,hv
2019-04-02T03:50:58.440Z,53.9306,169.4268,10,4.2,mb,,152,3.05,0.76,us,us2000k902,2019-04-02T04:12:01.040Z,"262km ESE of Nikol'skoye, Russia",earthquake,10.5,2,0.048,123,reviewed,us,us
2019-04-02T02:44:51.955Z,58.3941,-136.7449,8.5,2.5,ml,,,,0.79,ak,ak019486wc4f,2019-04-02T02:52:12.813Z,"58km W of Gustavus, Alaska",earthquake,,0.4,,,automatic,ak,ak
2019-04-02T02:24:40.110Z,18.8726,-64.3736,50,3.17,md,5,347,1.6462,0.42,pr,pr2019092004,2019-04-02T05:00:24.161Z,"56km NNE of Road Town, British Virgin Islands",earthquake,7.94,25.48,0.11,3,reviewed,pr,pr
